Datetime,Open,High,Low,Close,Volume,date,time
2025-05-22 10:15:00+05:30,275.5400085449219,276.0,275.4599914550781,275.82000732421875,415318.0,2025-05-22,10:15:00
2025-05-22 10:30:00+05:30,275.8599853515625,275.9700012207031,275.5199890136719,275.54998779296875,90274.0,2025-05-22,10:30:00
2025-05-22 10:45:00+05:30,275.8399963378906,275.9200134277344,275.6700134277344,275.8599853515625,101068.0,2025-05-22,10:45:00
2025-05-22 11:00:00+05:30,275.80999755859375,275.8999938964844,275.6700134277344,275.8399963378906,86215.0,2025-05-22,11:00:00
2025-05-22 11:15:00+05:30,275.69000244140625,275.8399963378906,275.5899963378906,275.7799987792969,83680.0,2025-05-22,11:15:00
2025-05-22 11:30:00+05:30,275.20001220703125,275.7799987792969,275.1499938964844,275.70001220703125,191460.0,2025-05-22,11:30:00
2025-05-22 11:45:00+05:30,275.7200012207031,275.75,275.30999755859375,275.3599853515625,84986.0,2025-05-22,11:45:00
2025-05-22 12:00:00+05:30,275.5,275.739990234375,275.3999938964844,275.7200012207031,75341.0,2025-05-22,12:00:00
2025-05-22 12:15:00+05:30,275.3599853515625,275.55999755859375,275.2900085449219,275.55999755859375,181822.0,2025-05-22,12:15:00
2025-05-22 12:30:00+05:30,275.4599914550781,275.57000732421875,275.32000732421875,275.3599853515625,450874.0,2025-05-22,12:30:00
2025-05-22 12:45:00+05:30,275.2099914550781,275.4599914550781,274.9800109863281,275.4599914550781,623204.0,2025-05-22,12:45:00
2025-05-22 13:00:00+05:30,275.3299865722656,275.3399963378906,275.0,275.19000244140625,185825.0,2025-05-22,13:00:00
2025-05-22 13:15:00+05:30,275.3800048828125,275.44000244140625,275.2099914550781,275.25,710530.0,2025-05-22,13:15:00
2025-05-22 13:30:00+05:30,275.1300048828125,275.3999938964844,275.0199890136719,275.3800048828125,127832.0,2025-05-22,13:30:00
2025-05-22 13:45:00+05:30,275.1499938964844,275.25,275.010009765625,275.1499938964844,383512.0,2025-05-22,13:45:00
2025-05-22 14:00:00+05:30,275.1499938964844,275.2799987792969,275.04998779296875,275.1499938964844,365509.0,2025-05-22,14:00:00
2025-05-22 14:15:00+05:30,274.79998779296875,275.1700134277344,274.6199951171875,275.1700134277344,465281.0,2025-05-22,14:15:00
2025-05-22 14:30:00+05:30,275.1499938964844,275.32000732421875,274.45001220703125,274.79998779296875,665631.0,2025-05-22,14:30:00
2025-05-22 14:45:00+05:30,275.7200012207031,275.95001220703125,274.8999938964844,275.20001220703125,865400.0,2025-05-22,14:45:00
2025-05-22 15:00:00+05:30,275.92999267578125,275.989990234375,275.5899963378906,275.75,533276.0,2025-05-22,15:00:00
2025-05-22 15:15:00+05:30,276.2200012207031,276.2200012207031,275.7099914550781,275.92999267578125,435815.0,2025-05-22,15:15:00
2025-05-23 09:15:00+05:30,276.9599914550781,277.0400085449219,275.6300048828125,275.79998779296875,1146635.0,2025-05-23,09:15:00
2025-05-23 09:30:00+05:30,277.7300109863281,277.7300109863281,276.79998779296875,276.9700012207031,567056.0,2025-05-23,09:30:00
2025-05-23 09:45:00+05:30,277.8900146484375,277.989990234375,277.42999267578125,277.7300109863281,233930.0,2025-05-23,09:45:00
2025-05-23 10:00:00+05:30,278.07000732421875,278.17999267578125,277.80999755859375,277.94000244140625,220579.0,2025-05-23,10:00:00
2025-05-23 10:15:00+05:30,277.57000732421875,278.0899963378906,277.510009765625,278.07000732421875,116681.0,2025-05-23,10:15:00
2025-05-23 10:30:00+05:30,278.07000732421875,278.07000732421875,277.42999267578125,277.57000732421875,126327.0,2025-05-23,10:30:00
2025-05-23 10:45:00+05:30,279.0400085449219,279.2200012207031,277.989990234375,278.1000061035156,518798.0,2025-05-23,10:45:00
2025-05-23 11:00:00+05:30,279.010009765625,279.17999267578125,278.7699890136719,279.1499938964844,170214.0,2025-05-23,11:00:00
2025-05-23 11:15:00+05:30,278.8299865722656,279.010009765625,278.55999755859375,279.010009765625,175977.0,2025-05-23,11:15:00
2025-05-23 11:30:00+05:30,278.80999755859375,279.1000061035156,278.7099914550781,278.95001220703125,114170.0,2025-05-23,11:30:00
2025-05-23 11:45:00+05:30,278.3699951171875,278.80999755859375,278.010009765625,278.80999755859375,162853.0,2025-05-23,11:45:00
2025-05-23 12:00:00+05:30,278.3699951171875,278.54998779296875,278.1700134277344,278.3699951171875,245018.0,2025-05-23,12:00:00
2025-05-23 12:15:00+05:30,278.79998779296875,278.79998779296875,278.1600036621094,278.3500061035156,226756.0,2025-05-23,12:15:00
2025-05-23 12:30:00+05:30,278.8500061035156,279.0899963378906,278.7300109863281,278.8500061035156,107459.0,2025-05-23,12:30:00
2025-05-23 12:45:00+05:30,278.94000244140625,279.1000061035156,278.80999755859375,278.80999755859375,89181.0,2025-05-23,12:45:00
2025-05-23 13:00:00+05:30,278.8299865722656,279.0899963378906,278.82000732421875,278.8500061035156,89478.0,2025-05-23,13:00:00
2025-05-23 13:15:00+05:30,278.82000732421875,279.0,278.80999755859375,278.8299865722656,148111.0,2025-05-23,13:15:00
2025-05-23 13:30:00+05:30,278.4599914550781,278.9800109863281,278.3999938964844,278.94000244140625,75442.0,2025-05-23,13:30:00
2025-05-23 13:45:00+05:30,278.70001220703125,278.82000732421875,278.29998779296875,278.5,56999.0,2025-05-23,13:45:00
2025-05-23 14:00:00+05:30,278.6700134277344,278.8900146484375,278.55999755859375,278.70001220703125,50799.0,2025-05-23,14:00:00
2025-05-23 14:15:00+05:30,278.7900085449219,278.8500061035156,278.5299987792969,278.6700134277344,52647.0,2025-05-23,14:15:00
2025-05-23 14:30:00+05:30,278.4100036621094,278.8399963378906,278.4100036621094,278.7699890136719,67869.0,2025-05-23,14:30:00
2025-05-23 14:45:00+05:30,278.29998779296875,278.54998779296875,278.25,278.3999938964844,146330.0,2025-05-23,14:45:00
2025-05-23 15:00:00+05:30,278.3599853515625,278.6000061035156,278.25,278.2900085449219,239989.0,2025-05-23,15:00:00
2025-05-23 15:15:00+05:30,278.29998779296875,278.4800109863281,278.25,278.3599853515625,145083.0,2025-05-23,15:15:00
2025-05-26 09:15:00+05:30,280.4599914550781,280.6000061035156,278.95001220703125,278.95001220703125,439579.0,2025-05-26,09:15:00
2025-05-26 09:30:00+05:30,280.54998779296875,280.70001220703125,280.3999938964844,280.4200134277344,458777.0,2025-05-26,09:30:00
2025-05-26 09:45:00+05:30,280.70001220703125,280.8999938964844,280.54998779296875,280.54998779296875,393024.0,2025-05-26,09:45:00
2025-05-26 10:00:00+05:30,280.45001220703125,280.80999755859375,280.45001220703125,280.79998779296875,330207.0,2025-05-26,10:00:00
2025-05-26 10:15:00+05:30,279.7900085449219,280.6099853515625,279.2200012207031,280.6099853515625,532550.0,2025-05-26,10:15:00
2025-05-26 10:30:00+05:30,279.70001220703125,279.79998779296875,279.04998779296875,279.739990234375,176917.0,2025-05-26,10:30:00
