date,direction,entry_time,entry_price,exit_time,exit_price,return
2025-05-22,long,09:30:00,275.5199890136719,15:15:00,275.92999267578125,0.0014881085890614992
2025-06-05,short,09:30:00,277.5,15:15:00,277.8900146484375,-0.0014054581925675676
2025-06-26,short,09:30:00,284.489990234375,15:15:00,286.29998779296875,-0.006362253930630729
